fit x,fit y
110.7547793643834,0.000000000000000
111.7547793643834,0.03010516607337076
112.7547793643834,0.1065135799622235
113.7547793643834,0.2119783283176227
114.7547793643834,0.3333288463734870
115.7547793643834,0.4606773801581182
116.7547793643834,0.5867638419772224
117.7547793643834,0.7064165833984196
118.7547793643834,0.8161100818602333
119.7547793643834,0.9136034921763139
120.7547793643834,0.9976465273427604
121.7547793643834,1.067741268352969
122.7547793643834,1.123950315252036
123.7547793643834,1.166743228659862
124.7547793643834,1.196874512956640
125.7547793643834,1.215287493955786
126.7547793643834,1.223039374901929
127.7547793643834,1.221243540454830
128.7547793643834,1.211025840703314
129.7547793643834,1.193492144785747
130.7547793643834,1.169704922252565
131.7547793643834,1.140667003443573
132.7547793643834,1.107310999425716
133.7547793643834,1.070493137295289
134.7547793643834,1.030990496278883
135.7547793643834,0.9895008212048452
136.7547793643834,0.9466442486264515
137.7547793643834,0.9029664123093969
138.7547793643834,0.8589425033184181
139.7547793643834,0.8149819492530869
140.7547793643834,0.7714334504247611
141.7547793643834,0.7285901705847411
142.7547793643834,0.6866949284448248
143.7547793643834,0.6459452755619853
144.7547793643834,0.6064983777770289
145.7547793643834,0.5684756426380242
146.7547793643834,0.5319670552236112
147.7547793643834,0.4970352004478827
148.7547793643834,0.4637189620622976
149.7547793643834,0.4320368978261437
150.7547793643834,0.4019902972406415
151.7547793643834,0.3735659332857186
152.7547793643834,0.3467385231378237
153.7547793643834,0.3214729151914649
154.7547793643834,0.2977260211112878
155.7547793643834,0.2754485123142770
156.7547793643834,0.2545863003936408
157.7547793643834,0.2350818206856204
158.7547793643834,0.2168751375598035
159.7547793643834,0.1999048891724230
160.7547793643834,0.1841090884321955
161.7547793643834,0.1694257958461010
162.7547793643834,0.1557936787823770
163.7547793643834,0.1431524705440056
164.7547793643834,0.1314433415140006
165.7547793643834,0.1206091935330803
166.7547793643834,0.1105948876146711
167.7547793643834,0.1013474141011541
168.7547793643834,0.09281601342499164
169.7547793643834,0.08495225476227102
170.7547793643834,0.07771007905565533
171.7547793643834,0.07104581213850153
172.7547793643834,0.06491815301057094
173.7547793643834,0.05928814169601997
174.7547793643834,0.05411911055331415
175.7547793643834,0.04937662240103759
176.7547793643834,0.04502839836970924
177.7547793643834,0.04104423798399567
178.7547793643834,0.03739593361842111
179.7547793643834,0.03405718114917854
